
info [Tue Apr 18 2017 20:09:03 GMT+0900 (KST)]  이미 켜져있는 알람입니다.
info [Tue Apr 18 2017 20:09:03 GMT+0900 (KST)]  on
info [Tue Apr 18 2017 20:09:03 GMT+0900 (KST)]  이미 켜져있는 알람입니다.

info [Tue Apr 18 2017 20:11:15 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:11:15 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 없습니다.
info [Tue Apr 18 2017 20:11:15 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:11:15 GMT+0900 (KST)]  알람 생성 완료!!
info [Tue Apr 18 2017 20:11:16 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:11:16 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.
info [Tue Apr 18 2017 20:11:23 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:11:24 GMT+0900 (KST)]  off

info [Tue Apr 18 2017 20:12:26 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:12:26 GMT+0900 (KST)]  알람 생성 완료!!
info [Tue Apr 18 2017 20:12:28 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:12:28 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.
info [Tue Apr 18 2017 20:12:29 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:12:29 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.
info [Tue Apr 18 2017 20:12:34 GMT+0900 (KST)]  off

info [Tue Apr 18 2017 20:12:59 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:13:06 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 없습니다.
info [Tue Apr 18 2017 20:13:10 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:13:10 GMT+0900 (KST)]  알람 생성 완료!!
info [Tue Apr 18 2017 20:13:11 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:13:11 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.

info [Tue Apr 18 2017 20:51:18 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:51:18 GMT+0900 (KST)]  job 을 찾을 수 없습니다. ("my_alarm")
info [Tue Apr 18 2017 20:51:18 GMT+0900 (KST)]  알람 생성 완료!!
info [Tue Apr 18 2017 20:51:27 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:51:27 GMT+0900 (KST)]  job 을 찾을 수 없습니다. ("my_alarm")
info [Tue Apr 18 2017 20:51:27 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 중지 되었습니다.
info [Tue Apr 18 2017 20:51:27 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:51:27 GMT+0900 (KST)]  이미 꺼져있는 알람 입니다.
info [Tue Apr 18 2017 20:51:35 GMT+0900 (KST)]  on
info [Tue Apr 18 2017 20:51:35 GMT+0900 (KST)]  job 을 찾을 수 없습니다. ("my_alarm")
info [Tue Apr 18 2017 20:51:36 GMT+0900 (KST)]  on
info [Tue Apr 18 2017 20:51:36 GMT+0900 (KST)]  이미 켜져있는 알람입니다.

info [Tue Apr 18 2017 20:53:04 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:53:04 GMT+0900 (KST)]  job 을 찾을 수 없습니다. ("my_alarm")
info [Tue Apr 18 2017 20:53:04 GMT+0900 (KST)]  알람 생성 완료!!
info [Tue Apr 18 2017 20:53:04 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:53:04 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.
info [Tue Apr 18 2017 20:53:15 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:53:15 GMT+0900 (KST)]  job 을 찾을 수 없습니다. ("my_alarm")
info [Tue Apr 18 2017 20:53:15 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 중지 되었습니다.
info [Tue Apr 18 2017 20:53:16 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:53:16 GMT+0900 (KST)]  이미 꺼져있는 알람 입니다.
info [Tue Apr 18 2017 20:53:20 GMT+0900 (KST)]  on
info [Tue Apr 18 2017 20:53:20 GMT+0900 (KST)]  job 을 찾을 수 없습니다. ("my_alarm")
info [Tue Apr 18 2017 20:53:20 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 시작 되었습니다.

info [Tue Apr 18 2017 20:54:41 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:54:41 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 없습니다.
info [Tue Apr 18 2017 20:54:41 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:54:41 GMT+0900 (KST)]  알람 생성 완료!!
info [Tue Apr 18 2017 20:54:42 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:54:42 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.
info [Tue Apr 18 2017 20:54:49 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:54:49 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 중지 되었습니다.
